0.000000    0.000000	0.000000    0.000000	0.200000	0.200000	0.200000	0.200000
0.050000    0.050000	0.050000    0.050000	0.413050	0.413050	0.413050	0.413050
0.100000    0.100000	0.100000    0.100000	0.609160	0.609160	0.609160	0.609160
0.150000    0.150000	0.150000    0.150000	0.773050	0.773050	0.773050	0.773050
0.200000    0.200000	0.200000    0.200000	0.892592	0.892592	0.892592	0.892592
0.250000    0.250000	0.250000    0.250000	0.960000	0.960000	0.960000	0.960000
0.300000    0.300000	0.300000    0.300000	0.972592	0.972592	0.972592	0.972592
0.350000    0.350000	0.350000    0.350000	0.933050	0.933050	0.933050	0.933050
0.400000    0.400000	0.400000    0.400000	0.849160	0.849160	0.849160	0.849160
0.450000    0.450000	0.450000    0.450000	0.733050	0.733050	0.733050	0.733050
0.500000    0.500000	0.500000    0.500000	0.600000	0.600000	0.600000	0.600000
0.550000    0.550000	0.550000    0.550000	0.466950	0.466950	0.466950	0.466950
0.600000    0.600000	0.600000    0.600000	0.350840	0.350840	0.350840	0.350840
0.650000    0.650000	0.650000    0.650000	0.266950	0.266950	0.266950	0.266950
0.700000    0.700000	0.700000    0.700000	0.227408	0.227408	0.227408	0.227408
0.750000    0.750000	0.750000    0.750000	0.240000	0.240000	0.240000	0.240000
0.800000    0.800000	0.800000    0.800000	0.307408	0.307408	0.307408	0.307408
0.850000    0.850000	0.850000    0.850000	0.426950	0.426950	0.426950	0.426950
0.900000    0.900000	0.900000    0.900000	0.590840	0.590840	0.590840	0.590840
0.950000    0.950000	0.950000    0.950000	0.786950	0.786950	0.786950	0.786950
1.000000    1.000000	1.000000    1.000000	1.000000	1.000000	1.000000	1.000000
	
